# Constructed from biom file																																			
#OTU ID	HL1HFP1	HL1HFP2	HL1HFP3	HL1HFU1	HL1HFU2	HL1HFU3	HL2HFP1	HL2HFP2	HL2HFP3	HL2HFU1	HL2HFU2	HL2HFU3	HL3HFP1	HL3HFP3	HL3HFU1	HL3HFU2	HL3HFU3	SY1HFP1	SY1HFP2	SY1HFP3	SY1HFU1	SY1HFU2	SY1HFU3	SY2HFP1	SY2HFP2	SY2HFP3	SY2HFU1	SY2HFU2	SY2HFU3	SY3HFP1	SY3HFP2	SY3HFP3	SY3HFU1	SY3HFU2	SY3HFU3
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter	6.80E-05	0.000921108	0.00038059	2.87E-05	7.27E-05	0	0.000687636	0.000778706	0.000128849	2.94E-05	4.54E-05	0	0.000531303	8.13E-05	0	0	0	1.74E-05	0.000124302	3.84E-05	6.79E-05	0.000118513	0.000199133	2.21E-05	0.000137476	1.61E-05	1.28E-05	4.97E-05	7.25E-05	0	6.90E-05	0	0	3.84E-05	4.02E-05
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella	0	3.54E-05	3.29E-05	1.15E-05	0	0	5.24E-05	0.000106187	0	0	0	0	0	0	0	0	0	3.49E-06	1.62E-05	0	0	1.32E-05	0	0	3.82E-06	0	0	5.52E-06	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatellaceae_unclassified	5.10E-05	0.000322781	0.000135402	0.000132245	0	1.41E-05	0.000445326	0.000460144	0.000257699	0.000182321	0.000181798	2.50E-05	0.000371912	0.000108445	0.000227531	0.000122485	0.000124984	6.97E-06	3.24E-05	3.20E-06	0	2.63E-05	2.41E-05	1.11E-05	3.82E-05	5.37E-06	0	1.10E-05	2.13E-05	0	4.60E-05	0	0	1.92E-05	1.72E-05
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;JGI_0001001-H03	0	3.15E-05	7.32E-06	0.000132245	0	0	6.55E-06	7.08E-05	0	0.000164677	0.000409044	0	1.77E-05	2.71E-05	0	6.12E-05	0	1.05E-05	4.86E-05	0	0	0.000215079	0.000531023	3.69E-06	0.000221489	0	6.39E-06	0.000298315	0.001301039	0	6.90E-05	0	0	0.000767489	0.000723826
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter	6.80E-05	0.000499917	0.000354973	0.000120745	0	0	0.000347093	0.001451225	0.000257699	0.000129389	0.000159073	2.50E-05	0.000513592	0.000189779	0	9.19E-05	0	3.49E-06	1.08E-05	0	0	8.34E-05	3.02E-05	0	6.11E-05	5.37E-06	6.39E-06	3.87E-05	2.99E-05	1.66E-05	6.90E-05	0.000132952	0	0.000153498	1.72E-05
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Tellurimicrobium	0	0	0	0	0	0	0	1.77E-05	0	0	0	0	5.31E-05	0	0	0	0	0	3.78E-05	0	6.79E-05	2.19E-05	4.22E-05	0	7.64E-06	0	2.56E-05	5.52E-06	4.27E-05	0	0	0	0	0	0
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;uncultured	0.001512011	0.002527141	0.00242992	0.000109246	0.000218214	0.00011286	0.008533239	0.005928784	0.001546193	1.00E-04	0.000227247	9.17E-05	0.007013194	0.002440016	0.000682594	0.000153107	0.000124984	3.14E-05	0.000254009	3.52E-05	1.70E-05	4.39E-05	0.000241374	9.96E-05	0.000622461	0.000107436	3.83E-05	2.76E-05	0.000191957	3.32E-05	0.000437214	0.000132952	0	0.000134311	6.89E-05
Bacteria;Acidobacteriota;Blastocatellia;DS-100;DS-100_fa;DS-100_ge	8.49E-05	0.000161391	0.000117105	2.30E-05	0	0	0.00018337	0.000407051	6.44E-05	3.53E-05	0	8.34E-06	0.000318782	0.000189779	0	3.06E-05	0	1.05E-05	0.000140515	2.56E-05	0	4.39E-06	4.83E-05	2.95E-05	0.000190939	0.000107436	6.39E-06	0	7.25E-05	1.66E-05	0.000322158	6.65E-05	0	1.92E-05	2.30E-05
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41	6.80E-05	0.00079908	0.000472078	0.000109246	7.27E-05	1.41E-05	0.002108751	0.003787342	0.000257699	0.000264659	6.82E-05	1.67E-05	0.002479412	0.001274231	0	0.000122485	6.25E-05	2.44E-05	3.78E-05	1.28E-05	1.70E-05	4.39E-05	9.05E-05	2.58E-05	9.55E-05	1.07E-05	4.47E-05	0.000143633	0.000136502	0	0.000138068	6.65E-05	0	0.000115123	6.89E-05
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix	0.000135911	0.000370018	0.000102467	0	0	0	4.58E-05	0.000106187	0.000193274	5.88E-06	0	8.34E-06	0.000141681	0.000135556	0	0	0	3.49E-06	1.08E-05	3.20E-06	0	0	6.03E-06	3.69E-06	0	0	0	0	0.000174894	0	2.30E-05	0	0	0	0.000149361
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Holophaga	1.70E-05	7.87E-06	0	5.17E-05	0	0.001932735	6.55E-06	0	0	0.000105864	0.000295421	0.005853414	0	0	0	0.000520562	0.003874516	2.44E-05	5.40E-06	6.41E-06	0	8.78E-06	6.03E-06	1.84E-05	7.64E-06	5.37E-06	6.39E-06	1.10E-05	7.68E-05	0	0	6.65E-05	0	3.84E-05	5.74E-06
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Holophagaceae_unclassified	0	0	0	0	0	0	0	1.77E-05	0	0	0	0	0	0	0	0	0	1.74E-05	1.62E-05	0	0	0	0	3.69E-06	1.53E-05	0	0	0	4.27E-06	0	2.30E-05	0	0	0	0
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;uncultured	0	0	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Holophagae;Subgroup_7;Subgroup_7_fa;Subgroup_7_ge	0.001495022	0.002822368	0.002700725	0.000413983	0.000145476	0.000141076	0.004420519	0.005999575	0.001932741	0.000341116	0.000159073	0.000225131	0.007650757	0.004473363	0.001137656	0.000183728	0.00056243	0.000129	0.00029184	5.77E-05	4.24E-05	0.000149239	0.000174996	0.000763263	0.000893594	0.000778912	3.83E-05	8.29E-05	0.000238879	0.000629911	0.001426698	0.000664761	0.000159642	0.000191872	0.000195318
Bacteria;Acidobacteriota;Subgroup_11;Subgroup_11_or;Subgroup_11_fa;Subgroup_11_ge	0	1.18E-05	0	1.15E-05	0	0	1.96E-05	3.54E-05	0	0	0	8.34E-06	0.000141681	0	0	0	0	3.49E-06	1.08E-05	0	0	0	6.03E-06	3.69E-06	3.82E-06	5.37E-06	0	5.52E-06	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Subgroup_18;Subgroup_18_or;Subgroup_18_fa;Subgroup_18_ge	3.40E-05	2.36E-05	1.46E-05	0	0	0	0.000111332	1.77E-05	0	0	0	0	0.000212521	2.71E-05	0	9.19E-05	0	4.18E-05	1.08E-05	2.56E-05	0	8.78E-06	0	8.48E-05	3.44E-05	0.000419001	0	5.52E-06	8.53E-06	0.000132613	6.90E-05	6.65E-05	0	0	0
Bacteria;Acidobacteriota;Subgroup_21;Subgroup_21_or;Subgroup_21_fa;Subgroup_21_ge	5.10E-05	1.18E-05	7.32E-06	0	0	0	6.55E-06	1.77E-05	0	0	0	0	8.86E-05	2.71E-05	0	0	0	3.49E-06	0	3.20E-06	0	0	6.03E-06	0	0	1.61E-05	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22_or;Subgroup_22_fa;Subgroup_22_ge	3.40E-05	5.51E-05	7.32E-06	5.75E-06	0	0	0.000255408	0.000283166	0	5.88E-06	0	8.34E-06	0.000690693	0	0	0	0	1.39E-05	6.49E-05	0	8.49E-06	1.32E-05	0	9.96E-05	0.000668286	3.76E-05	6.39E-06	0	2.99E-05	1.66E-05	0.000897439	0	0	0	4.60E-05
Bacteria;Acidobacteriota;Subgroup_25;Subgroup_25_or;Subgroup_25_fa;Subgroup_25_ge	1.70E-05	7.87E-06	1.10E-05	0	0	0	3.27E-05	8.85E-05	6.44E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27E-06	0	0	0	0	1.92E-05	0
Bacteria;Acidobacteriota;Subgroup_5;Subgroup_5_or;Subgroup_5_fa;Subgroup_5_ge	3.40E-05	3.15E-05	4.39E-05	4.60E-05	0	0	4.58E-05	0.000707914	0	1.76E-05	0	0	0.000194811	0	0	0	6.25E-05	1.05E-05	0	3.20E-06	0	8.78E-06	2.41E-05	1.47E-05	2.29E-05	1.07E-05	1.28E-05	1.66E-05	2.13E-05	0	0	0	0	3.84E-05	1.72E-05
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup_10	0.000169889	0.000586517	0.000267145	8.05E-05	0	2.82E-05	0.00121155	0.003150219	0.000386548	7.06E-05	6.82E-05	7.50E-05	0.001771009	0.001003118	0.000455063	0.000183728	0	3.84E-05	2.70E-05	6.41E-06	1.70E-05	2.19E-05	6.03E-06	5.53E-05	0.000114563	6.45E-05	0	4.97E-05	5.12E-05	8.29E-05	9.20E-05	0.000132952	0	0.000115123	2.87E-05
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;TPD-58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07E-05	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15E-05	6.98E-05	0	0	4.27E-06	0	2.30E-05	0	0	0	0
Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup_17;Subgroup_17_fa;Subgroup_17_ge	1.70E-05	0.000114154	8.78E-05	1.72E-05	0	1.41E-05	0.00036019	0.000300864	0.000322123	1.18E-05	0	1.67E-05	0.000726114	0.000352447	0	0	0	1.05E-05	1.62E-05	6.41E-06	0	0	0	2.21E-05	0.000160389	0.000102064	1.92E-05	0	1.28E-05	3.32E-05	0.000483236	0	0	0	2.87E-05
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea	1.70E-05	1.57E-05	2.93E-05	0	0	0	3.93E-05	0	0	0	0	0	0.000106261	0	0	0	0	6.97E-06	5.40E-06	0	0	4.39E-06	1.21E-05	0	7.64E-06	5.37E-06	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter	1.70E-05	3.54E-05	3.66E-05	2.87E-05	0	2.82E-05	3.27E-05	7.08E-05	0	8.82E-05	0.000136348	1.67E-05	1.77E-05	0	0	6.12E-05	6.25E-05	0	0	0	4.24E-05	0.00028092	1.81E-05	3.69E-06	3.44E-05	0	6.39E-05	0.000414326	2.13E-05	1.66E-05	0	0	0	0.000498868	1.72E-05
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacteraceae_ge	0.001189222	0.003936357	0.001526019	0.000517479	0.000363689	0.000141076	0.010111528	0.024387654	0.002641412	0.00125272	0.00034087	0.000216793	0.015230674	0.009163617	0.002957907	0.001010503	0.000249969	0.000122027	0.000205369	6.09E-05	7.64E-05	0.000610123	0.00031982	0.000169614	0.000733205	0.000134295	9.58E-05	0.000988857	0.001403416	0.000215496	0.000805394	0.000398857	0	0.00193791	0.002045096
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;uncultured	8.49E-05	0.000169263	0.000182976	2.87E-05	0	1.41E-05	0.000333995	0.000212374	0	4.71E-05	0	0	0.000301071	0.00021689	0	0	0	0	0	3.20E-06	0	1.32E-05	6.03E-06	7.37E-06	1.15E-05	5.37E-06	0	0	0	0	0	0	0	1.92E-05	5.74E-06
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacterales_fa;Vicinamibacterales_ge	0	7.09E-05	3.66E-05	5.75E-06	0	0	0.000255408	0.000123885	6.44E-05	1.18E-05	0	0	0.000318782	0.000325336	0	0	0	1.05E-05	1.08E-05	3.20E-06	0	4.39E-06	6.03E-06	8.11E-05	0.000110745	5.91E-05	0	0	8.53E-06	9.95E-05	6.90E-05	0	0	0	5.74E-06
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacterales_unclassified;Vicinamibacterales_unclassified	0	4.72E-05	0	5.75E-06	0	0	0	5.31E-05	0	1.76E-05	0	0	0	2.71E-05	0	0	0	0	0	0	0	4.39E-06	0	0	1.53E-05	0	6.39E-06	0	1.71E-05	3.32E-05	9.20E-05	0	0	0	1.72E-05
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;uncultured_ge	0.000407733	0.00207446	0.001628486	0.00049448	0.000218214	0.000282151	0.003713236	0.005539431	0.001610617	0.000999824	0.001545279	0.000558659	0.005684938	0.003090687	0.00182025	0.001347337	0.001812273	0.000219648	0.00034048	7.69E-05	5.09E-05	0.000689131	0.001164629	0.000387162	0.000756118	0.000687592	0.000319479	0.000905992	0.001565513	0.000364685	0.001242608	0.000398857	0.000159642	0.001189608	0.002033606
Bacteria;Acidobacteriota;c5LKS83;c5LKS83_or;c5LKS83_fa;c5LKS83_ge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82E-06	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiia_unclassified;Acidimicrobiia_unclassified;Acidimicrobiia_unclassified	0	0	0	0	0	1.41E-05	0	0	0	0	2.27E-05	0	0	2.71E-05	0	0	0	3.49E-06	0	0	0	0	0	0	0	1.07E-05	0	0	0	0	0	0	0.000319285	0	5.74E-06
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;uncultured_ge	1.70E-05	1.57E-05	7.32E-06	0	0	0	0.000144076	0	6.44E-05	0	0	8.34E-06	0.000106261	0	0	0	0	6.97E-06	5.40E-06	0	0	0	0	0	0	0	0	0	3.84E-05	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256_fa;IMCC26256_ge	0.000220856	0.000877808	0.000947815	0.000448482	0.000145476	0.000239828	0.0015128	0.002654679	0.00096637	0.000870435	0.002067947	0.001150671	0.002727353	0.001599566	0.00182025	0.003337722	0.002687164	0.000226621	0.000275627	0.000153751	0.000322438	0.000610123	0.001128423	0.001968998	0.001928482	0.001487991	0.001674068	0.001287172	0.003177948	0.0015582	0.0036818	0.000731237	0.001915709	0.003664761	0.005595289
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia	0.0013761	0.00072429	0.001690698	0.000327737	0	2.82E-05	0.003549513	0.001946765	0.001030795	0.000182321	0.000499943	0.000166764	0.002638803	0.001165786	0.000455063	0.00211287	0.000374953	3.49E-05	9.19E-05	5.13E-05	8.49E-06	5.27E-05	2.41E-05	5.16E-05	6.11E-05	3.22E-05	3.19E-05	3.31E-05	9.81E-05	3.32E-05	2.30E-05	0	0	0.000306996	3.45E-05
